category,decile_lo,contracts,mean_price,yes_rate
ALL,0.0,537652004.430174,0.031875182379262595,0.033369556985124824
ALL,0.1,210981133.5900091,0.14397644421745517,0.13992602351529157
ALL,0.2,200794975.95002532,0.2449255377236046,0.23757553591315264
ALL,0.3,215392945.5199873,0.3456832977563069,0.3434559411470153
ALL,0.4,239399942.98000658,0.44545461898774014,0.44450029296329585
ALL,0.5,236181203.76996946,0.5436914649273611,0.5447119131263036
ALL,0.6,205993263.0199909,0.6432366121837284,0.6549295765410751
ALL,0.7,181158560.00001252,0.744120170647275,0.7550436675473791
ALL,0.8,184649051.86000633,0.8456665594394139,0.8555568466703332
ALL,0.9,435377252.1801345,0.9643923920502006,0.9670475586214646
Climate and Weather,0.0,34356526.419998765,0.021360788460637596,0.01576159194268218
Climate and Weather,0.1,5684449.310000021,0.13957698688670578,0.12251270475310085
Climate and Weather,0.2,4028751.860000016,0.2433969066786862,0.24289889623532104
Climate and Weather,0.3,3426029.1700000013,0.3428167196252943,0.33218848513189964
Climate and Weather,0.4,2737391.8599999975,0.4425681560257247,0.42385573178405
Climate and Weather,0.5,2205730.6099999943,0.5413552568416227,0.5347640390228825
Climate and Weather,0.6,1727832.1200000024,0.6427201961033113,0.6167090064282394
Climate and Weather,0.7,1485861.0099999981,0.7428563508776684,0.7366210921706612
Climate and Weather,0.8,1663931.4700000023,0.8467960362574316,0.8396546824130929
Climate and Weather,0.9,10173977.259999944,0.9783630320105109,0.9659039920047954
Commodities,0.0,12708015.939999891,0.0352280796202715,0.02950295166217766
Commodities,0.1,5524805.270000074,0.1434414548333907,0.1511672537193315
Commodities,0.2,5262284.8600001335,0.24568123176440262,0.24997150572345941
Commodities,0.3,5513056.490000002,0.3458118051861315,0.33804426879724947
Commodities,0.4,6101096.840000039,0.4459831275518645,0.4321422146120135
Commodities,0.5,6358048.0700000245,0.5444479707433265,0.5279278959587903
Commodities,0.6,5942476.420000007,0.644226011989798,0.626864064190925
Commodities,0.7,5566980.070000101,0.7439822483323308,0.7221990360026461
Commodities,0.8,5452194.250000035,0.8462114473269183,0.8106959982212628
Commodities,0.9,11925874.179999908,0.9626127470346938,0.9642583643289807
Companies,0.0,40192.81,0.04137768172964267,0.0
Companies,0.1,772911.0,0.1543219206351055,0.0044312993345935045
Companies,0.2,44314.0,0.23527959561312453,0.24096222412781515
Companies,0.3,17446.0,0.34744812564484695,0.06391149833772784
Companies,0.4,38077.0,0.45118995719200566,0.06092916984006093
Companies,0.5,59085.0,0.5512231530845396,0.39827367352119825
Companies,0.6,113414.0,0.6368101821644594,0.6281764156100658
Companies,0.7,72809.0,0.7344716999272068,0.9283055666195114
Companies,0.8,13784.0,0.8588863900174114,0.9500870574579222
Companies,0.9,208711.0,0.9698177384038217,0.9991279807964123
Crypto,0.0,400129221.31010956,0.03426703407120955,0.03898924394704107
Crypto,0.1,181796343.1300158,0.14442579091055016,0.14493819284997675
Crypto,0.2,179812638.2600222,0.2452101049428997,0.2399887675725762
Crypto,0.3,197659540.4099901,0.34581166891721515,0.34575995056063247
Crypto,0.4,222097640.11000335,0.44556470738138854,0.4470158621713967
Crypto,0.5,219225533.77997643,0.5437762206409794,0.5481465634866153
Crypto,0.6,189771864.73999208,0.6431734109565279,0.657709625981743
Crypto,0.7,166269319.99001265,0.7441047243533907,0.7567562935697899
Crypto,0.8,168243104.5400112,0.8456088040491399,0.8562502331604135
Crypto,0.9,371681370.87007177,0.9633503759957469,0.9665611058716259
Economics,0.0,10927654.679999966,0.026170945559198373,0.004111726744278869
Economics,0.1,1477802.6600000006,0.13855017818143595,0.08500482060304314
Economics,0.2,953576.8800000005,0.24009705862415534,0.15651401908989232
Economics,0.3,706020.9000000006,0.34731230224204335,0.3449625074838432
Economics,0.4,551720.6200000003,0.4426976452864858,0.353170776905166
Economics,0.5,788532.4500000004,0.5316584572137762,0.30686828424118734
Economics,0.6,540878.99,0.6422041241609331,0.6269830521610757
Economics,0.7,778365.6999999993,0.7524186659689657,0.7775577084139249
Economics,0.8,1234889.8399999987,0.8436776621386741,0.8500911708853315
Economics,0.9,4986834.540000006,0.9612044126011747,0.9747839778939207
Elections,0.0,2506347.020000001,0.03837608747810193,0.1581417325043839
Elections,0.1,712473.2000000002,0.1374718323440095,0.19707558122887986
Elections,0.2,802969.6600000003,0.23460447833109893,0.20449991846516333
Elections,0.3,317783.85,0.3595195026430705,0.40863860765737475
Elections,0.4,460701.08000000037,0.42903708365519755,0.3618495749999108
Elections,0.5,276318.80000000005,0.5467753732283143,0.679627842911883
Elections,0.6,376864.5300000003,0.6336868784122499,0.6696884156224511
Elections,0.7,322507.83,0.7467362925731138,0.6120395898605004
Elections,0.8,365665.50000000006,0.8420301901601327,0.8653890782696205
Elections,0.9,2427319.060000002,0.9741171832474281,0.8806330759006195
Entertainment,0.0,17847574.789999623,0.0246733704708574,0.006846926903955141
Entertainment,0.1,2606923.770000006,0.1354585048338404,0.06412055539314815
Entertainment,0.2,1210795.5499999989,0.23973035472421356,0.14995596903209646
Entertainment,0.3,868672.45,0.34331601583542753,0.2874551276490927
Entertainment,0.4,769098.8000000003,0.44253679722293154,0.4578228830938233
Entertainment,0.5,760465.1700000012,0.5432070259049453,0.5541888525939975
Entertainment,0.6,976899.3799999995,0.6450921766374753,0.7444321440760874
Entertainment,0.7,868954.0499999991,0.748900171418729,0.7627110662525829
Entertainment,0.8,1158858.0499999993,0.8463743813144324,0.8943784443659859
Entertainment,0.9,4578854.780000016,0.9676727406279421,0.982800199223614
Financials,0.0,5086026.310000005,0.037208790313945715,0.036866820690905897
Financials,0.1,3128486.279999998,0.14293798255046247,0.10474812119041801
Financials,0.2,2149217.0,0.24057945493637864,0.23757609864429693
Financials,0.3,1943506.6100000003,0.34237215663495996,0.318247227366003
Financials,0.4,2110579.8399999994,0.4459427378970901,0.42546224643176733
Financials,0.5,2144807.179999997,0.5398183540209889,0.5210297365752017
Financials,0.6,1829200.8199999991,0.6443415104635677,0.6297629584487067
Financials,0.7,2115447.7500000005,0.7419507571860408,0.7621292749962744
Financials,0.8,2284652.2900000005,0.8459720202324492,0.8577017555699914
Financials,0.9,3441125.880000001,0.9566716436133116,0.962572880362052
Health,0.0,19101.0,0.04115229569132507,0.0
Health,0.1,778.0,0.12898457583547557,0.0
Health,0.2,857.0,0.2377362893815636,0.0
Health,0.3,563.0,0.3238365896980462,0.0
Health,0.4,13.0,0.4684615384615384,0.0
Health,0.8,39.0,0.89,0.0
Health,0.9,103.0,0.989126213592233,0.9902912621359223
Mentions,0.0,37077261.3799984,0.018392799001811677,0.014806647243265834
Mentions,0.1,5110312.900000042,0.14316263211592817,0.09397826109630107
Mentions,0.2,4359243.540000082,0.24233972608008578,0.19413423274809344
Mentions,0.3,3633085.749999998,0.34412013817730186,0.2893657299445798
Mentions,0.4,3443410.9099999797,0.44426313428275194,0.37528785956016036
Mentions,0.5,3504885.439999986,0.5431231476998062,0.4390639569663086
Mentions,0.6,3313053.60999997,0.6429302994888757,0.5126644690787276
Mentions,0.7,2550238.7100000056,0.7432774173912494,0.7049664382202061
Mentions,0.8,2783185.5300000054,0.8467408308924272,0.8593191270292352
Mentions,0.9,17285682.539999492,0.9770773198349133,0.976310197815306
Politics,0.0,10877555.38999997,0.03678124656370958,0.0068110413915345915
Politics,0.1,3687949.720000002,0.1398495416038369,0.09802770033426589
Politics,0.2,1886625.12,0.24097915557278168,0.19277885476262496
Politics,0.3,1123784.3699999996,0.3390373759158089,0.2656163833280579
Politics,0.4,925982.4799999999,0.4399797490768939,0.4071073677333507
Politics,0.5,705974.75,0.543425077738261,0.47788051909788554
Politics,0.6,1180413.4500000002,0.6501040719249691,0.7802443880997795
Politics,0.7,854309.6099999996,0.7463077638796554,0.8062287394847405
Politics,0.8,1086339.8299999996,0.849115595807622,0.9243454324969385
Politics,0.9,7759230.07,0.971340870525311,0.9883320162975915
Science and Technology,0.0,6036911.480000008,0.024338983035742584,0.008275786412558089
Science and Technology,0.1,476090.35000000015,0.13515078093895405,0.07316529310035375
Science and Technology,0.2,282542.22,0.2402217803059662,0.10787095818812499
Science and Technology,0.3,182869.51999999996,0.34470015396770365,0.2222449646064582
Science and Technology,0.4,162529.44,0.4422163160101946,0.3119140753822815
Science and Technology,0.5,151206.51999999996,0.5491053361984658,0.5182540408971784
Science and Technology,0.6,220362.96,0.6476269078977703,0.6541932455436249
Science and Technology,0.7,273198.28,0.7416452200943577,0.7685224811810673
Science and Technology,0.8,361687.5599999999,0.8462438893391853,0.9139863975415687
Science and Technology,0.9,897256.0000000005,0.9598398526173144,0.9758111620317945
Social,0.0,29889.0,0.04609220783565861,0.0
Social,0.1,1000.0,0.13434000000000001,0.001
Social,0.2,995.0,0.26679396984924625,0.20100502512562815
Social,0.3,587.0,0.3325383304940376,0.5400340715502555
Social,0.4,1701.0,0.44845385067607285,0.8683127572016461
Social,0.5,615.0,0.5284878048780488,0.0016260162601626016
Social,0.6,2.0,0.6499999999999999,1.0
Social,0.7,543.0,0.7543093922651934,0.9539594843462247
Social,0.8,720.0,0.8524444444444444,0.9333333333333333
Social,0.9,10851.0,0.963584923048567,0.9967744908303382
Transportation,0.0,55.0,0.06672727272727273,0.0
Transportation,0.1,270.0,0.13992592592592593,0.0
Transportation,0.2,81.0,0.19999999999999998,0.0
Transportation,0.5,1.0,0.5,0.0
Transportation,0.7,25.0,0.7468,0.0
World,0.0,9671.9,0.03821214032403148,0.00020678460281847415
World,0.1,538.0,0.12368029739776953,0.0
World,0.2,84.0,0.2192857142857143,0.0
World,0.9,62.0,0.9899999999999999,1.0
