stat,sample,category,side,bucket,clusters,events,losing,contracts,rows,mean_c,se_c,t
A,all,ALL,long_yes,0,1972,27862,1591.0,212226594.76000062,2100250.0,0.587821782598053,0.5204353754195046,1.1294808353952315
A,confirmation,ALL,long_yes,0,1159,18712,944.0,177586649.07000068,1752926.0,0.8365264904117632,0.6153362814521258,1.3594623226793208
A,exploration,ALL,long_yes,0,894,9205,717.0,34639945.68999999,347324.0,-0.6871985671399887,0.3562217955639234,-1.9291311640606001
A,all,ALL,long_yes,1,1943,28738,1329.0,180771714.15000042,2245146.0,-0.438701159260864,1.0824690562986725,-0.40527824486820113
A,confirmation,ALL,long_yes,1,1188,19213,800.0,151551163.60000068,1803835.0,-0.05040129611501624,1.267796931244518,-0.03975502296376471
A,exploration,ALL,long_yes,1,875,9561,613.0,29220550.549999997,441311.0,-2.452602163103324,1.1744483690885559,-2.0883013912367163
A,all,ALL,long_yes,2,1966,32624,1083.0,420973432.23999906,5178374.0,0.4417456210017558,1.1392539832367714,0.38774990256930947
A,confirmation,ALL,long_yes,2,1227,22037,650.0,369978150.0199992,4310493.0,0.5596666825835692,1.275633003271109,0.4387364399858066
A,exploration,ALL,long_yes,2,863,10615,487.0,50995282.21999998,867881.0,-0.41378874047538067,1.6771611364373558,-0.2467197286447713
A,all,ALL,long_yes,3,1836,22148,625.0,190998737.98000056,2089739.0,1.1852445820856703,1.1384062293816883,1.0411437951542322
A,confirmation,ALL,long_yes,3,1124,15139,394.0,164465058.7200005,1727579.0,1.2046188521494021,1.3046372570234102,0.9233362343934554
A,exploration,ALL,long_yes,3,822,7022,251.0,26533679.25999999,362160.0,1.0651560548797046,1.3338828454397231,0.7985379364621552
A,all,ALL,long_yes,4,1792,21139,272.0,236315257.33000052,1913821.0,0.47402074597173066,0.34369810982861004,1.3791776341397626
A,confirmation,ALL,long_yes,4,1099,14379,162.0,198451391.06000045,1627277.0,0.4347085423251601,0.40163383266749514,1.0823504071805796
A,exploration,ALL,long_yes,4,795,6767,116.0,37863866.269999996,286544.0,0.6800631359290699,0.4210093007616082,1.6153161811362167
A,all,ALL,short_yes,0,1969,27585,261.0,325425409.67000026,2325319.0,0.1357980520347569,0.4236608324435938,0.3205348279459774
A,confirmation,ALL,short_yes,0,1154,18107,165.0,247736560.55000037,1896177.0,-0.15058823270857852,0.5427221465269783,-0.2774683761704441
A,exploration,ALL,short_yes,0,906,9543,104.0,77688849.12,429142.0,1.0490353309319966,0.3277252751639053,3.2009594939155743
A,all,ALL,short_yes,1,1996,29014,600.0,231004395.39000088,2636472.0,0.6648653576302217,1.0277740061684024,0.6468983975464373
A,confirmation,ALL,short_yes,1,1203,18894,396.0,191023044.260001,2088316.0,0.33872495732272595,1.2049962147689492,0.2811004326579353
A,exploration,ALL,short_yes,1,913,10161,237.0,39981351.13,548156.0,2.2231001436518953,1.398357821586155,1.5897934772733895
A,all,ALL,short_yes,2,2007,34377,913.0,475993923.0499983,6103075.0,-0.0172833328984075,1.1911841468172422,-0.014509371153559518
A,confirmation,ALL,short_yes,2,1243,22920,617.0,410828047.29999816,4989439.0,-0.3469645598061575,1.3541665722957368,-0.25622000048187854
A,exploration,ALL,short_yes,2,901,11488,373.0,65165875.749999985,1113636.0,2.0611402764394637,1.6634133978398917,1.239102846662207
A,all,ALL,short_yes,3,1917,25485,1181.0,174808873.88000017,2179252.0,-0.881945470989433,1.1878490148877354,-0.742472704809867
A,confirmation,ALL,short_yes,3,1191,17326,748.0,146582138.36000037,1767866.0,-1.0548975483956315,1.3937266355463032,-0.756889853068023
A,exploration,ALL,short_yes,3,846,8177,505.0,28226735.520000007,411386.0,0.016198960981546565,1.3054915447568862,0.012408323168851468
A,all,ALL,short_yes,4,1884,23536,1433.0,199061994.85000062,1903141.0,-0.01797890492734247,0.40050674299147865,-0.044890392588783454
A,confirmation,ALL,short_yes,4,1153,16078,917.0,170085679.88000062,1627446.0,-0.1386931330282965,0.45864780384080484,-0.30239572034762524
A,exploration,ALL,short_yes,4,843,7471,613.0,28976314.97,275695.0,0.6905915802774675,0.5451666985663914,1.2667530538704868
A,all,Climate and Weather,long_yes,0,279,8425,197.0,8467122.15,199685.0,0.1658115656215026,0.3529234113846713,0.4698230841953841
A,confirmation,Climate and Weather,long_yes,0,143,5509,105.0,4906735.53,121528.0,-0.42586309924879834,0.2939943718761989,-1.448541672859402
A,exploration,Climate and Weather,long_yes,0,141,2916,96.0,3560386.62,78157.0,0.9812261287511521,0.703154039896814,1.3954639710171393
A,all,Climate and Weather,long_yes,1,279,7641,166.0,4326624.39,194540.0,-0.3832519536090357,0.628311561630108,-0.6099711942506942
A,confirmation,Climate and Weather,long_yes,1,142,4854,88.0,2320327.46,112230.0,-0.33773840266494193,0.8529370305662677,-0.39597108644786627
A,exploration,Climate and Weather,long_yes,1,141,2787,81.0,2006296.9300000002,82310.0,-0.4358893974881379,0.9323507031606454,-0.46751656432550953
A,all,Climate and Weather,long_yes,2,278,7464,152.0,3726629.74,199525.0,-2.076227951210413,0.718169276933084,-2.8910007959082704
A,confirmation,Climate and Weather,long_yes,2,142,4855,86.0,2140925.91,124750.0,-2.8903545522507126,0.9206940596998182,-3.1393213867297893
A,exploration,Climate and Weather,long_yes,2,140,2609,69.0,1585703.83,74775.0,-0.9770411414091096,1.1482027580981915,-0.8509308434578378
A,all,Climate and Weather,long_yes,3,269,3447,110.0,1135705.0399999996,46512.0,-0.4656753042145534,1.7193816760687066,-0.27083881996422127
A,confirmation,Climate and Weather,long_yes,3,137,2396,62.0,665381.0499999998,30340.0,-3.068886767965518,2.3857024819944876,-1.2863660876103362
A,exploration,Climate and Weather,long_yes,3,133,1051,48.0,470323.99,16172.0,3.2171637895825826,2.16518039329075,1.485864087607488
A,all,Climate and Weather,long_yes,4,262,4772,47.0,6610317.299999999,44754.0,-0.7583126698017955,1.1383553004121658,-0.6661476162382975
A,confirmation,Climate and Weather,long_yes,4,137,3143,29.0,2667819.9299999997,27351.0,0.39490295733715497,0.39682548376653354,0.9951552344594137
A,exploration,Climate and Weather,long_yes,4,129,1629,19.0,3942497.37,17403.0,-1.5386737822985532,1.908110968780684,-0.8063859007538708
A,all,Climate and Weather,short_yes,0,278,8299,47.0,25889404.269999996,193342.0,0.7972698357496801,0.1395034581686747,5.715054280487406
A,confirmation,Climate and Weather,short_yes,0,142,5264,22.0,11857277.939999998,112027.0,0.8397974839071695,0.2223200082226852,3.777426470162742
A,exploration,Climate and Weather,short_yes,0,141,3035,26.0,14032126.33,81315.0,0.7613335754510693,0.17664737972418945,4.309905851079064
A,all,Climate and Weather,short_yes,1,279,7700,98.0,5386576.780000001,199412.0,1.5302025417337504,0.6008085434912771,2.5469054298758764
A,confirmation,Climate and Weather,short_yes,1,142,4826,54.0,2792165.6400000006,114251.0,0.6103302811218607,0.8283584441086326,0.7367949049865916
A,exploration,Climate and Weather,short_yes,1,141,2874,44.0,2594411.14,85161.0,2.520190473742724,0.8685538282096721,2.9015938815646334
A,all,Climate and Weather,short_yes,2,280,7966,131.0,6370354.02,296419.0,1.0948209562770892,0.6762404462023586,1.6189817725712818
A,confirmation,Climate and Weather,short_yes,2,143,5169,70.0,3596873.6999999997,191143.0,0.26272956428801086,0.632524881032424,0.4153663708203489
A,exploration,Climate and Weather,short_yes,2,141,2797,62.0,2773480.32,105276.0,2.173944403542764,1.3327275757662833,1.631199386185735
A,all,Climate and Weather,short_yes,3,271,4270,161.0,2014087.4400000002,84787.0,0.7873914997454148,1.3277705328883083,0.5930177543800409
A,confirmation,Climate and Weather,short_yes,3,141,2983,83.0,1290611.5899999999,61122.0,0.8659295009120456,1.7334790930357902,0.4995327052924354
A,exploration,Climate and Weather,short_yes,3,134,1287,80.0,723475.8500000001,23665.0,0.6472872314950117,2.0346145228581256,0.31813752640757453
A,all,Climate and Weather,short_yes,4,269,4227,197.0,3563659.9600000004,64793.0,2.1503487134053025,1.196326451793269,1.7974598072139705
A,confirmation,Climate and Weather,short_yes,4,139,3037,101.0,2325931.7600000002,48997.0,1.141228395281897,0.8846602370619673,1.290018865403078
A,exploration,Climate and Weather,short_yes,4,133,1190,98.0,1237728.2000000002,15796.0,4.046681848244227,3.005911580697484,1.3462411450257115
A,all,Commodities,long_yes,0,164,1431,128.0,6641674.630000002,78408.0,0.14127826584001138,0.48673636829415656,0.29025623529045724
A,confirmation,Commodities,long_yes,0,111,1317,89.0,6358275.460000001,72995.0,0.059252315564195294,0.4720731317489851,0.12551511954232858
A,exploration,Commodities,long_yes,0,54,114,40.0,283399.17000000004,5413.0,1.9815927124980637,4.529283741084312,0.43750686107902576
A,all,Commodities,long_yes,1,165,1598,110.0,5245681.280000002,102632.0,0.25858640614932304,1.7119843766314369,0.1510448399407284
A,confirmation,Commodities,long_yes,1,112,1473,70.0,4987906.050000001,97506.0,0.7192485652371062,1.77158066907913,0.4059925566985175
A,exploration,Commodities,long_yes,1,54,125,41.0,257775.22999999998,5126.0,-8.655146578668555,2.586701712276246,-3.3460164879437135
A,all,Commodities,long_yes,2,163,1888,85.0,10773403.989999998,232827.0,-0.9186834633869563,1.934743356995937,-0.47483479401288137
A,confirmation,Commodities,long_yes,2,113,1755,54.0,10381703.630000003,223943.0,-0.5246528415876245,1.960526922323747,-0.2676080780190313
A,exploration,Commodities,long_yes,2,51,133,32.0,391700.36,8884.0,-11.36214881191327,7.945396711059774,-1.4300291382678818
A,all,Commodities,long_yes,3,152,1494,60.0,4846475.359999999,91172.0,-1.1693831019497807,1.9523498644173243,-0.5989618578424114
A,confirmation,Commodities,long_yes,3,110,1390,39.0,4504434.170000001,87197.0,-1.255582636253729,1.9665226206866022,-0.6384786134905218
A,exploration,Commodities,long_yes,3,43,104,21.0,342041.18999999994,3975.0,-0.034197811088190505,9.659076608015948,-0.0035404845075781015
A,all,Commodities,long_yes,4,142,1215,30.0,5269280.920000002,64298.0,0.6703490183248763,0.6643894681072525,1.0089699649132031
A,confirmation,Commodities,long_yes,4,109,1138,18.0,5063338.190000001,62224.0,0.7003711956281554,0.6834110956052807,1.0248168344528465
