horizon,side,clusters,events,losing,contracts,rows,mean_c,se_c,t
0-1h,short_yes,490,20299,204.0,1175398385.9599469,12574632.0,-0.2180340131046563,0.8237478075231834,-0.26468539413808395
0-1h,long_yes,465,19438,206.0,1099412637.8099506,11747307.0,0.557698780747766,0.7840762334316732,0.7112813231270652
1-6h,short_yes,1005,8012,401.0,62592221.43000001,640274.0,0.7611630361899903,0.6685538183398072,1.1385217095613271
1-6h,long_yes,982,7167,419.0,39805833.429999985,425723.0,0.45826487162749663,0.8585579256447811,0.5337611568646782
6-24h,short_yes,1639,13800,586.0,84700811.72,1070997.0,0.45011917447582,1.7421467938971997,0.2583704060143514
6-24h,long_yes,1596,12500,768.0,52135838.92000007,748159.0,1.019454535619252,1.9801579536321092,0.514834957357475
24-168h,short_yes,1843,14553,774.0,54668741.000000045,669116.0,1.430367925674285,0.8180172182432048,1.7485792398675672
24-168h,long_yes,1796,13547,979.0,32698390.38000002,477859.0,-0.7815403915868624,0.988461459410259,-0.790663494409938
168h+,short_yes,1062,2956,481.0,28934436.729999993,192240.0,4.289471876778228,1.229538890999664,3.488683365916727
168h+,long_yes,1026,2727,573.0,17233035.919999987,128282.0,-5.1743249977548995,1.3700030376805818,-3.7768711860048456
