stat,sample,category,side,bucket,clusters,events,losing,contracts,rows,mean_c,se_c,t
A,all,ALL,short_yes,-1,2172,42239,873.0,1406294596.8399627,15147259.0,0.022613600326276562,0.7068973885925417,0.03198993332158301
A,all,ALL,long_yes,-1,2153,40227,1156.0,1241285736.4599648,13527330.0,0.4590469076866624,0.7089273403051315,0.6475232108964548
C,all,ALL,short_yes,-1,2063,34081,897.0,266823350.10000095,2382648.0,-0.09466969494900242,0.7315833664989931,-0.1294038373262177
B,all,ALL,short_yes,-1,2169,41573,1012.0,95213616.82000038,12495176.0,-0.777687296460791,0.6938511316628099,-1.1208273085857314
A,exploration,ALL,long_yes,-1,990,13684,533.0,179253323.99,2305220.0,-0.349002461887213,0.8356729368265919,-0.4176304466823167
A,exploration,ALL,short_yes,-1,1000,14620,340.0,240039126.49,2778015.0,1.354633112661401,0.7886827307756316,1.717589418154477
A,confirmation,ALL,short_yes,-1,1344,27715,625.0,1166255470.3499637,12369244.0,-0.2515431417746762,0.8356327816999874,-0.3010211510167708
C,exploration,ALL,long_yes,-1,911,10117,497.0,30477343.279999997,359276.0,-0.0683973896756273,1.043089939274538,-0.06557190046641348
C,exploration,ALL,short_yes,-1,941,11157,365.0,40646036.58999999,446573.0,1.9736462765101794,0.9724118541457951,2.0296402888299916
B,confirmation,ALL,long_yes,-1,1328,26354,773.0,70744993.9600004,9326549.0,-0.12276895032193474,0.8053727662418403,-0.1524374245913714
B,confirmation,ALL,short_yes,-1,1343,27283,714.0,78394731.22000036,10277093.0,-1.1350478142757987,0.8189957965565936,-1.3859018801415368
A,exploration,Mentions,long_yes,-1,146,1056,74.0,12286944.41,167836.0,-1.994170269058782,1.0297969820526915,-1.9364693272685725
A,exploration,Climate and Weather,long_yes,-1,141,3293,65.0,11565208.74,268817.0,-0.3011951766985569,0.6892447709853847,-0.43699305294394997
A,exploration,Politics,short_yes,-1,102,330,51.0,7999833.600000001,39474.0,-0.9254620049847123,5.199148696580116,-0.17800260369422796
A,exploration,Commodities,short_yes,-1,57,168,15.0,2017694.2200000002,35609.0,9.304659023110053,3.644380999532102,2.5531521057498288
A,exploration,Mentions,short_yes,-1,146,1126,44.0,31629198.810000002,348112.0,2.925598077455696,0.9026854884694109,3.2409938066206494
A,confirmation,Mentions,short_yes,-1,185,1195,70.0,25258141.63000001,366896.0,2.5333206792221166,0.7539904006305052,3.359884525192485
A,confirmation,Science and Technology,long_yes,-1,90,239,52.0,1314817.1800000004,10792.0,-3.6847236357348523,1.31724726511165,-2.7972907845988466
A,confirmation,Politics,short_yes,-1,189,476,101.0,8228332.0100000035,41227.0,4.3981713614640565,2.0502781455760637,2.145158387877323
A,confirmation,Entertainment,short_yes,-1,143,1218,60.0,12774914.180000002,111453.0,1.8284341593909645,0.6264369020975212,2.9187842435028215
