category,sample,events,markets,contracts,taker_yes_share
Climate and Weather,confirmation,6332,34742,34564050.509997144,0.6325317868539612
Climate and Weather,exploration,3403,17812,32926430.57999996,0.648756074184826
Commodities,confirmation,1907,19289,66856279.48999539,0.5318965138542879
Commodities,exploration,168,2371,3498552.899999997,0.5767225128995482
Companies,confirmation,1,1,4678.81,0.2055073832876308
Companies,exploration,16,52,1376065.0,0.5747613666505579
Crypto,confirmation,14138,43459,2012035991.7279696,0.5154935499781833
Crypto,exploration,7753,30613,284650585.4099966,0.5344310069163759
Economics,confirmation,903,6038,13175087.78999989,0.660929293132254
Economics,exploration,283,1574,9771189.469999999,0.6371805785892719
Elections,confirmation,112,414,6549284.529999993,0.5699374142170602
Elections,exploration,29,100,2019666.0,0.6356788696744907
Entertainment,confirmation,1330,7226,19230271.31999931,0.6643127373202417
Entertainment,exploration,1116,5019,12416825.469999988,0.7315874215956109
Financials,confirmation,1758,18876,18623727.030000005,0.5280019758751807
Financials,exploration,617,5053,7609322.93,0.5298316390417669
Health,exploration,14,20,21454.0,0.6158292159970169
Mentions,confirmation,1204,17971,39144217.08999746,0.6452585722158414
Mentions,exploration,1136,15064,43916143.21999989,0.7202180449123701
Politics,confirmation,498,2005,13677298.439999953,0.6016050644866988
Politics,exploration,382,1085,16410866.349999992,0.48747174155129264
Science and Technology,confirmation,261,1386,4412389.180000009,0.7020169512789896
Science and Technology,exploration,113,526,4632265.150000001,0.7435769323351449
Social,confirmation,3,5,14559.0,0.4529157222336699
Social,exploration,8,17,32344.0,0.7070554044026713
Transportation,exploration,1,1,432.0,0.9120370370370371
World,confirmation,1,1,47.900000000000006,1.0
World,exploration,11,19,10308.0,0.7494179278230501
